Strike Price,Option Type,Last Price,IV,Open Interest,Change in OI,Date,Expiry
26200.0,CE,9.0,17.3,114498,15931,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26200.0,PE,354.05,24.32,3189,-1574,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26250.0,CE,7.65,18.53,63943,10120,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26250.0,PE,400.7,25.62,470,-150,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26300.0,CE,6.5,19.69,99977,-6820,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26300.0,PE,450.7,27.88,1750,-370,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26350.0,CE,5.6,20.84,44123,11990,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26350.0,PE,498.6,29.33,594,-122,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26400.0,CE,5.1,22.16,78491,14499,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26400.0,PE,549.0,31.62,500,-187,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26450.0,CE,4.45,23.25,32052,4820,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26450.0,PE,599.9,34.09,197,-83,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26500.0,CE,4.1,24.52,139525,-7878,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26500.0,PE,649.3,35.93,4555,-1285,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26550.0,CE,3.75,25.72,28190,5697,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26550.0,PE,698.5,37.63,102,50,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26600.0,CE,3.5,26.96,114353,41452,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26600.0,PE,746.1,38.55,433,-75,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26650.0,CE,3.0,27.81,28187,10416,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26650.0,PE,793.0,38.94,32,-2,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26700.0,CE,2.9,29.14,80898,11914,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26700.0,PE,843.0,40.82,74,5,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26750.0,CE,2.75,30.37,22387,3208,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26750.0,PE,886.15,38.41,18,-4,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26800.0,CE,2.5,31.37,87893,1520,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26800.0,PE,940.2,42.86,97,-47,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26850.0,CE,2.35,32.51,19229,5007,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26850.0,PE,992.5,46.05,2,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26900.0,CE,2.15,33.49,52786,1539,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26900.0,PE,1029.5,36.88,14,-3,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26950.0,CE,2.05,34.64,20213,3300,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
26950.0,PE,1095.25,51.27,5,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27000.0,CE,2.1,36.12,235889,-48021,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27000.0,PE,1145.85,53.42,439,-1430,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27050.0,CE,2.0,37.23,10944,-7637,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27050.0,PE,1190.0,51.46,5,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27100.0,CE,1.6,37.49,39761,-13668,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27100.0,PE,1246.65,57.48,11,1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27150.0,CE,1.6,38.79,9914,-9061,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27150.0,PE,1295.0,58.24,31,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27200.0,CE,1.65,40.23,41353,-5694,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27200.0,PE,1336.95,54.08,8,-1,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27250.0,CE,1.55,41.21,7167,-3215,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27250.0,PE,1397.35,63.2,67,-56,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27300.0,CE,1.5,42.31,20668,-15646,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27300.0,PE,1440.15,59.97,159,153,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27350.0,CE,1.45,43.4,7365,-2788,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27350.0,PE,1565.6,0.0,7,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27400.0,CE,1.35,44.29,17501,-20224,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27400.0,PE,1547.0,68.18,213,205,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27450.0,CE,1.4,45.72,4203,-1953,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27450.0,PE,1696.1,0.0,8,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27500.0,CE,1.4,46.95,59160,-27992,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27500.0,PE,1647.3,71.79,41,-45,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27550.0,CE,1.25,47.57,5509,193,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27550.0,PE,1800.0,115.46,6,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27600.0,CE,1.2,48.56,22785,1762,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27600.0,PE,1850.15,0.0,5,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27650.0,CE,1.2,49.76,4702,2247,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27650.0,PE,1719.4,0.0,6,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27700.0,CE,1.25,51.19,19464,-377,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27700.0,PE,1917.35,0.0,6,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27750.0,CE,1.1,51.65,3647,1141,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27750.0,PE,1885.0,69.24,5,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27800.0,CE,1.15,53.09,25515,1131,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27800.0,PE,2230.0,0.0,12,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27850.0,CE,1.05,53.74,7590,-583,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27850.0,PE,2092.65,0.0,5,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27900.0,CE,1.1,55.17,39585,-6335,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27900.0,PE,2042.85,81.52,16,-3,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27950.0,CE,1.05,56.06,52903,-6068,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
27950.0,PE,2395.8,0.0,8,0,2026-02-10 01:48:23.818216,2026-02-10 01:48:23.818216
