CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"22,387","3,208","3,26,636",30.37,2.75,-0.75,"2,665",2.65,2.80,"2,015","26,750.00",260,894.95,898.95,260,-190.45,886.15,38.41,12,-4,18,
,"87,893","1,520","7,35,790",31.37,2.50,-0.65,"14,495",2.45,2.50,"3,120","26,800.00",65,945.10,949.10,260,-179.70,940.20,42.86,182,-47,97,
,"19,229","5,007","2,90,133",32.51,2.35,-0.40,"1,495",2.30,2.40,585,"26,850.00",260,993.20,999.80,260,-20.05,992.50,46.05,11,-1,2,
,"52,786","1,539","3,89,121",33.49,2.15,-0.45,"3,835",2.10,2.25,325,"26,900.00",520,"1,042.35","1,050.85",130,-201.40,"1,029.50",36.88,28,-3,14,
,"20,213","3,300","1,44,581",34.64,2.05,-0.20,845,2.05,2.10,65,"26,950.00",130,"1,089.95","1,100.85",130,-98.75,"1,095.25",51.27,5,-1,5,
,"2,35,889","-48,021","11,32,662",36.12,2.10,0.10,"6,760",2.10,2.15,"1,560","27,000.00",130,"1,144.05","1,147.70",65,-180.65,"1,145.85",53.42,"1,789","-1,430",439,
,"10,944","-7,637","96,661",37.23,2.00,0.10,"2,015",1.85,2.00,585,"27,050.00",130,"1,187.60","1,201.65",130,-64.15,"1,190.00",51.46,5,-,5,
,"39,761","-13,668","2,65,398",37.49,1.60,-0.10,520,1.60,1.75,"1,300","27,100.00",65,"1,242.00","1,248.90",65,-222.05,"1,246.65",57.48,28,1,11,
,"9,914","-9,061","1,12,104",38.79,1.60,-0.05,"1,365",1.60,1.70,65,"27,150.00",130,"1,288.10","1,300.90",130,-34.95,"1,295.00",58.24,4,-1,31,
,"41,353","-5,694","2,67,848",40.23,1.65,0.20,"2,795",1.60,1.65,"7,540","27,200.00",845,"1,337.90","1,350.00",65,-204.85,"1,336.95",54.08,7,-1,8,
,"7,167","-3,215","54,114",41.21,1.55,0.05,"2,340",1.50,1.60,910,"27,250.00",65,"1,387.80","1,400.70",130,-90.70,"1,397.35",63.20,125,-56,67,
